,index,id,name,date,record_identifier,status_of_system,latitude,longitude,maximum_sustained_wind_knots,maximum_pressure,34_kt_ne,34_kt_se,34_kt_sw,34_kt_nw,50_kt_ne,50_kt_se,50_kt_sw,50_kt_nw,64_kt_ne,64_kt_se,64_kt_sw,64_kt_nw,lat/long,address
15842,15842,AL021929,UNNAMED,1929-10-01 04:00:00,L,HU,30.2,-85.7,70,975.0,,,,,,,,,,,,,"30.2,-85.7","2931, Canal Drive, Pretty Bayou, Panama City, Bay County, Florida, 32405, United States"
16012,16012,AL021930,UNNAMED,1930-09-09 09:00:00,L,TS,27.5,-82.7,40,,,,,,,,,,,,,,"27.5,-82.7","Manatee Avenue, Manatee County, Florida, 34217, United States"
16073,16073,AL011931,UNNAMED,1931-06-27 22:00:00,L,TS,26.6,-97.3,40,,,,,,,,,,,,,,"26.6,-97.3","Willacy County, Texas, United States"
16095,16095,AL021931,UNNAMED,1931-07-15 10:00:00,L,TS,29.2,-91.0,50,,,,,,,,,,,,,,"29.2,-91.0","Terrebonne Parish, Louisiana, United States"
16376,16376,AL021932,UNNAMED,1932-08-14 04:00:00,L,HU,29.0,-95.2,130,935.0,,,,,,,,,,,,,"29.0,-95.2","Brazoria County, Texas, United States"
16398,16398,AL031932,UNNAMED,1932-08-30 04:00:00,L,TS,25.3,-80.3,55,,,,,,,,,,,,,,"25.3,-80.3","CR 905, Monroe County, Florida, United States"
16407,16407,AL031932,UNNAMED,1932-09-01 05:00:00,L,HU,30.2,-88.1,75,979.0,,,,,,,,,,,,,"30.2,-88.1","Mobile County, Alabama, United States"
16536,16536,AL061932,UNNAMED,1932-09-15 04:00:00,L,TS,30.0,-83.9,50,,,,,,,,,,,,,,"30.0,-83.9","Taylor County, Florida, United States"
16602,16602,AL081932,UNNAMED,1932-09-19 19:00:00,L,TS,29.6,-91.9,55,,,,,,,,,,,,,,"29.6,-91.9","Iberia Parish, Louisiana, United States"
16937,16937,AL031933,UNNAMED,1933-07-23 08:00:00,L,TS,28.6,-96.0,40,,,,,,,,,,,,,,"28.6,-96.0","Matagorda County, Texas, United States"
16990,16990,AL051933,UNNAMED,1933-07-30 16:00:00,L,HU,27.1,-80.1,65,988.0,,,,,,,,,,,,,"27.1,-80.1","Martin County, Florida, United States"
17056,17056,AL061933,UNNAMED,1933-08-23 10:00:00,L,HU,35.8,-75.6,80,963.0,,,,,,,,,,,,,"35.8,-75.6","Dare County, North Carolina, United States"
17057,17057,AL061933,UNNAMED,1933-08-23 12:00:00,L,HU,36.1,-75.8,75,966.0,,,,,,,,,,,,,"36.1,-75.8","Halls Harbor Road, Harbinger, Currituck County, North Carolina, 27941, United States"
17165,17165,AL081933,UNNAMED,1933-09-05 04:00:00,L,HU,26.1,-97.2,110,940.0,,,,,,,,,,,,,"26.1,-97.2","Cameron County, Texas, United States"
17233,17233,AL111933,UNNAMED,1933-09-04 05:00:00,L,HU,26.9,-80.1,110,948.0,,,,,,,,,,,,,"26.9,-80.1","114, Golf Village Boulevard, Jupiter, Palm Beach County, Florida, 33458, United States"
17238,17238,AL111933,UNNAMED,1933-09-05 04:00:00,L,TS,29.2,-82.9,55,,,,,,,,,,,,,,"29.2,-82.9","Jacks Creek Road, Levy County, Florida, United States"
17570,17570,AL011934,UNNAMED,1934-06-16 19:00:00,L,HU,29.7,-91.7,85,966.0,,,,,,,,,,,,,"29.7,-91.7","St. Mary Parish, Louisiana, United States"
17626,17626,AL031934,UNNAMED,1934-07-25 17:00:00,L,HU,28.1,-96.8,75,979.0,,,,,,,,,,,,,"28.1,-96.8","Calhoun County, Texas, United States"
17680,17680,AL061934,UNNAMED,1934-09-03 10:00:00,L,TS,35.0,-76.2,40,,,,,,,,,,,,,,"35.0,-76.2","Carteret County, North Carolina, United States"
17701,17701,AL071934,UNNAMED,1934-09-09 02:00:00,L,HU,40.7,-73.0,65,,,,,,,,,,,,,,"40.7,-73.0","Watch Hill, Davis Park, Suffolk County, New York, United States"
17702,17702,AL071934,UNNAMED,1934-09-09 04:00:00,L,TS,41.2,-73.0,50,,,,,,,,,,,,,,"41.2,-73.0","Morningside, Milford, New Haven County, Connecticut, 06460, United States"
17799,17799,AL111934,UNNAMED,1934-10-06 01:00:00,L,TS,30.3,-87.4,45,,,,,,,,,,,,,,"30.3,-87.4","Johnson Beach Road, Johnsons Beach, Escambia County, Florida, 32507, United States"
17942,17942,AL031935,UNNAMED,1935-09-03 02:00:00,L,HU,24.8,-80.8,160,892.0,,,,,,,,,,,,,"24.8,-80.8","Monroe County, Florida, United States"
17950,17950,AL031935,UNNAMED,1935-09-04 22:00:00,L,HU,29.6,-83.4,85,965.0,,,,,,,,,,,,,"29.6,-83.4","Dixie County, Florida, United States"
18086,18086,AL071935,UNNAMED,1935-11-04 18:00:00,L,HU,25.9,-80.1,85,973.0,,,,,,,,,,,,,"25.9,-80.1","Miami-Dade County, Florida, United States"
18162,18162,AL011936,UNNAMED,1936-06-15 08:00:00,L,TS,25.9,-81.7,40,,,,,,,,,,,,,,"25.9,-81.7","Caxambas, Marco Island, Collier County, Florida, 34145-0000, United States"
18188,18188,AL031936,UNNAMED,1936-06-27 16:00:00,L,HU,27.9,-97.0,70,987.0,,,,,,,,,,,,,"27.9,-97.0","Aransas County, Texas, United States"
18198,18198,AL041936,UNNAMED,1936-07-27 16:00:00,L,TS,29.1,-90.2,40,,,,,,,,,,,,,,"29.1,-90.2","Lafourche Parish, Louisiana, United States"
18210,18210,AL051936,UNNAMED,1936-07-29 02:00:00,L,TS,25.3,-80.3,55,995.0,,,,,,,,,,,,,"25.3,-80.3","CR 905, Monroe County, Florida, United States"
18221,18221,AL051936,UNNAMED,1936-07-31 14:00:00,L,HU,30.4,-86.6,90,964.0,,,,,,,,,,,,,"30.4,-86.6","Miller Time Charter Boats, Miracle Strip Parkway, Okaloosa County, Florida, 32548, United States"
18305,18305,AL091936,UNNAMED,1936-08-21 22:00:00,L,TS,28.9,-80.8,50,,,,,,,,,,,,,,"28.9,-80.8","Apollo Beach Road, Oak Hill, Volusia County, Florida, United States"
18568,18568,AL011937,UNNAMED,1937-07-29 22:00:00,L,TS,28.1,-82.8,55,,,,,,,,,,,,,,"28.1,-82.8","Palm Harbor, Pinellas County, Florida, 34683, United States"
18638,18638,AL031937,UNNAMED,1937-08-30 14:00:00,L,TS,29.1,-80.9,60,,,,,,,,,,,,,,"29.1,-80.9","Volusia County, Florida, United States"
18729,18729,AL071937,UNNAMED,1937-09-19 18:00:00,L,TS,29.1,-89.3,40,1002.0,,,,,,,,,,,,,"29.1,-89.3","Plaquemines Parish, Louisiana, United States"
18733,18733,AL071937,UNNAMED,1937-09-20 16:00:00,L,TS,29.7,-85.4,35,,,,,,,,,,,,,,"29.7,-85.4","Gulf County, Florida, United States"
18807,18807,AL101937,UNNAMED,1937-10-03 12:00:00,L,TS,29.5,-92.0,35,,,,,,,,,,,,,,"29.5,-92.0","Iberia Parish, Louisiana, United States"
18808,18808,AL101937,UNNAMED,1937-10-03 14:00:00,L,TS,29.8,-92.0,35,,,,,,,,,,,,,,"29.8,-92.0","Vermilion Parish, Louisiana, United States"
18873,18873,AL031938,UNNAMED,1938-08-15 01:00:00,L,HU,29.8,-93.4,65,,,,,,,,,,,,,,"29.8,-93.4","Cameron Parish, Louisiana, United States"
18969,18969,AL061938,UNNAMED,1938-09-21 20:00:00,L,HU,40.7,-72.9,105,941.0,,,,,,,,,,,,,"40.7,-72.9","Suffolk County, New York, United States"
18970,18970,AL061938,UNNAMED,1938-09-21 21:00:00,L,HU,41.3,-72.9,100,946.0,,,,,,,,,,,,,"41.3,-72.9","River Street Historic District, James Street, Barnesville, New Haven, New Haven County, Connecticut, 06513, United States"
19004,19004,AL071938,UNNAMED,1938-10-17 13:00:00,L,TS,29.3,-94.8,40,1004.0,,,,,,,,,,,,,"29.3,-94.8","Henry Beissner House, Ball Street - Avenue H, Galveston, Galveston County, Texas, 77550, United States"
19058,19058,AL011939,UNNAMED,1939-06-16 13:00:00,L,TS,30.3,-87.6,50,,,,,,,,,,,,,,"30.3,-87.6","24615, Gulf Bay Road, Orange Beach, Baldwin County, Alabama, 36561, United States"
19085,19085,AL021939,UNNAMED,1939-08-11 23:00:00,L,HU,27.2,-80.2,65,,,,,,,,,,,,,,"27.2,-80.2","35, Heritage Way, Sewall's Point, Martin County, Florida, 34996, United States"
19091,19091,AL021939,UNNAMED,1939-08-13 06:00:00,L,HU,30.4,-86.4,65,985.0,,,,,,,,,,,,,"30.4,-86.4","Emerald Bay Drive, Walton County, Florida, 32541, United States"
19156,19156,AL041939,UNNAMED,1939-09-26 08:00:00,L,TS,29.1,-90.2,45,,,,,,,,,,,,,,"29.1,-90.2","Lafourche Parish, Louisiana, United States"
19280,19280,AL021940,UNNAMED,1940-08-07 21:00:00,L,HU,29.7,-94.1,85,972.0,,,,,,,,,,,,,"29.7,-94.1","Jefferson County, Texas, United States"
19318,19318,AL031940,UNNAMED,1940-08-11 20:00:00,L,HU,32.1,-80.8,85,972.0,,,,,,,,,,,,,"32.1,-80.8","Sea Pines, Hilton Head Island, Beaufort County, South Carolina, United States"
19438,19438,AL061940,UNNAMED,1940-09-24 09:00:00,L,TS,29.8,-93.4,40,,,,,,,,,,,,,,"29.8,-93.4","Cameron Parish, Louisiana, United States"
19558,19558,AL021941,UNNAMED,1941-09-23 22:00:00,L,HU,28.8,-95.6,110,,,,,,,,,,,,,,"28.8,-95.6","Matagorda County, Texas, United States"
19644,19644,AL051941,UNNAMED,1941-10-06 10:00:00,L,HU,25.5,-80.2,85,,,,,,,,,,,,,,"25.5,-80.2","The Keyhole, Miami-Dade County, Florida, United States"
19645,19645,AL051941,UNNAMED,1941-10-06 11:00:00,L,HU,25.5,-80.3,85,,,,,,,,,,,,,,"25.5,-80.3","Miami-Dade County, Florida, United States"
19650,19650,AL051941,UNNAMED,1941-10-07 09:00:00,L,HU,29.9,-84.6,80,982.0,,,,,,,,,,,,,"29.9,-84.6","Crooked River Road, Franklin County, Florida, 32323, United States"
19699,19699,AL061941,UNNAMED,1941-10-20 14:00:00,L,TS,29.0,-83.0,40,1004.0,,,,,,,,,,,,,"29.0,-83.0","Florida, United States"
19736,19736,AL021942,UNNAMED,1942-08-21 13:00:00,L,HU,29.5,-94.6,65,,,,,,,,,,,,,,"29.5,-94.6","Texas, United States"
19773,19773,AL031942,UNNAMED,1942-08-30 09:00:00,L,HU,28.3,-96.6,100,950.0,,,,,,,,,,,,,"28.3,-96.6","First Chain of Islands, Calhoun County, Texas, United States"
19986,19986,AL011943,UNNAMED,1943-07-27 18:00:00,L,HU,29.5,-94.6,90,967.0,,,,,,,,,,,,,"29.5,-94.6","Texas, United States"
20141,20141,AL071943,UNNAMED,1943-10-01 00:00:00,L,TS,37.7,-75.7,55,997.0,,,,,,,,,,,,,"37.7,-75.7","Taylor Road, Tasley, Accomack County, Virginia, 23441, United States"
20261,20261,AL031944,UNNAMED,1944-08-01 23:00:00,L,HU,33.9,-78.1,70,985.0,,,,,,,,,,,,,"33.9,-78.1","Brunswick County, North Carolina, United States"
20332,20332,AL061944,UNNAMED,1944-09-10 19:00:00,L,TS,29.3,-89.4,55,992.0,,,,,,,,,,,,,"29.3,-89.4","Duvic, Plaquemines Parish, Louisiana, 70038, United States"
20333,20333,AL061944,UNNAMED,1944-09-10 23:00:00,L,TS,30.3,-88.3,50,,,,,,,,,,,,,,"30.3,-88.3","Mobile County, Alabama, United States"
20361,20361,AL071944,UNNAMED,1944-09-15 02:00:00,L,HU,40.9,-72.2,90,954.0,,,,,,,,,,,,,"40.9,-72.2","East Hampton, Village of East Hampton, Suffolk County, New York, 11937, United States"
20362,20362,AL071944,UNNAMED,1944-09-15 04:00:00,L,HU,41.4,-71.6,85,957.0,,,,,,,,,,,,,"41.4,-71.6","99, Laurel Ridge Road, South Kingstown, South County, Rhode Island, 02879, United States"
20484,20484,AL131944,UNNAMED,1944-10-18 21:00:00,L,HU,24.6,-82.9,105,949.0,,,,,,,,,,,,,"24.6,-82.9","Monroe County, Florida, United States"
20487,20487,AL131944,UNNAMED,1944-10-19 07:00:00,L,HU,27.2,-82.5,90,962.0,,,,,,,,,,,,,"27.2,-82.5","Historic Spanish Point, Guptill Road, Osprey, Sarasota County, Florida, 34229, United States"
20537,20537,AL011945,UNNAMED,1945-06-24 08:00:00,L,HU,28.6,-82.7,70,,,,,,,,,,,,,,"28.6,-82.7","Hernando County, Florida, United States"
20545,20545,AL011945,UNNAMED,1945-06-26 01:00:00,L,HU,34.7,-76.6,65,,,,,,,,,,,,,,"34.7,-76.6","Carteret County, North Carolina, United States"
20634,20634,AL051945,UNNAMED,1945-08-27 12:00:00,L,HU,28.2,-96.7,100,963.0,,,,,,,,,,,,,"28.2,-96.7","Calhoun County, Texas, United States"
20664,20664,AL071945,UNNAMED,1945-09-05 00:00:00,L,TS,26.5,-82.1,35,,,,,,,,,,,,,,"26.5,-82.1","St. James MHP, Saint James City, Lee County, Florida, 33956, United States"
20702,20702,AL091945,UNNAMED,1945-09-15 19:30:00,L,HU,25.3,-80.3,115,949.0,,,,,,,,,,,,,"25.3,-80.3","CR 905, Monroe County, Florida, United States"
20703,20703,AL091945,UNNAMED,1945-09-15 20:00:00,L,HU,25.4,-80.4,115,949.0,,,,,,,,,,,,,"25.4,-80.4","Miami-Dade County, Florida, United States"
20710,20710,AL091945,UNNAMED,1945-09-17 11:00:00,L,TS,32.1,-80.9,60,990.0,,,,,,,,,,,,,"32.1,-80.9","Prospect Road, Beaufort County, South Carolina, United States"
20792,20792,AL021946,UNNAMED,1946-07-06 08:00:00,L,TS,33.9,-78.2,45,,,,,,,,,,,,,,"33.9,-78.2","Brunswick County, North Carolina, United States"
20815,20815,AL031946,UNNAMED,1946-08-25 19:00:00,L,TS,22.1,-97.8,35,,,,,,,,,,,,,,"22.1,-97.8","Tampico Alto, Veracruz de Ignacio de la Llave, México"
20820,20820,AL041946,UNNAMED,1946-09-12 17:00:00,L,TS,25.0,-78.2,55,,,,,,,,,,,,,,"25.0,-78.2",Bermuda Triangle
20822,20822,AL041946,UNNAMED,1946-09-12 23:00:00,L,TS,25.9,-77.3,65,,,,,,,,,,,,,,"25.9,-77.3",Bermuda Triangle
20869,20869,AL061946,UNNAMED,1946-10-07 04:00:00,L,HU,22.2,-83.9,80,977.0,,,,,,,,,,,,,"22.2,-83.9","Carretera Panamericana, Galafre, San Juan y Martínez, Pinar del Río, Cuba"
20874,20874,AL061946,UNNAMED,1946-10-08 02:00:00,L,HU,27.5,-82.6,75,980.0,,,,,,,,,,,,,"27.5,-82.6","47, 39th Street Court Northwest, Manatee County, Florida, 34205, United States"
20904,20904,AL071946,UNNAMED,1946-11-01 03:00:00,L,TS,23.4,-75.8,35,,,,,,,,,,,,,,"23.4,-75.8","Exuma, The Bahamas"
20906,20906,AL071946,UNNAMED,1946-11-01 12:00:00,L,TS,24.6,-77.8,40,,,,,,,,,,,,,,"24.6,-77.8",Bermuda Triangle
20908,20908,AL071946,UNNAMED,1946-11-01 22:00:00,L,TS,26.6,-80.1,40,1002.0,,,,,,,,,,,,,"26.6,-80.1","Atlantis Country Club, 190, Atlantis Boulevard, Atlantis, Palm Beach County, Florida, 33462, United States"
20922,20922,AL011947,UNNAMED,1947-08-02 00:00:00,L,TS,25.6,-97.3,45,,,,,,,,,,,,,,"25.6,-97.3","Municipio de Matamoros, Tamaulipas, México"
20939,20939,AL021947,UNNAMED,1947-08-12 16:00:00,L,TS,19.9,-87.5,45,,,,,,,,,,,,,,"19.9,-87.5","Felipe Carrillo Puerto, Quintana Roo, 77200, México"
20951,20951,AL021947,UNNAMED,1947-08-15 10:00:00,L,HU,21.7,-97.5,95,,,,,,,,,,,,,,"21.7,-97.5","La Restinga, Tampico Alto, Veracruz de Ignacio de la Llave, México"
20972,20972,AL031947,UNNAMED,1947-08-22 14:00:00,L,TS,29.1,-90.3,40,,,,,,,,,,,,,,"29.1,-90.3","Lafourche Parish, Louisiana, United States"
20982,20982,AL031947,UNNAMED,1947-08-24 22:00:00,L,HU,29.2,-94.9,70,984.0,,,,,,,,,,,,,"29.2,-94.9","Galveston, Galveston County, Texas, United States"
21046,21046,AL041947,UNNAMED,1947-09-16 19:00:00,L,HU,26.7,-77.1,105,954.0,,,,,,,,,,,,,"26.7,-77.1",Bermuda Triangle
21050,21050,AL041947,UNNAMED,1947-09-17 16:30:00,L,HU,26.1,-80.1,115,943.0,,,,,,,,,,,,,"26.1,-80.1","Harbor Heights, Fort Lauderdale, Broward County, Florida, 33316, United States"
21059,21059,AL041947,UNNAMED,1947-09-19 14:00:00,L,HU,29.6,-89.5,95,966.0,,,,,,,,,,,,,"29.6,-89.5","Plaquemines Parish, Louisiana, United States"
21075,21075,AL051947,UNNAMED,1947-09-08 14:00:00,L,TS,30.3,-88.2,45,,,,,,,,,,,,,,"30.3,-88.2","Mobile County, Alabama, United States"
21085,21085,AL061947,UNNAMED,1947-09-21 22:00:00,L,TS,21.6,-82.6,45,,,,,,,,,,,,,,"21.6,-82.6","Isla de la Juventud, Cuba"
21087,21087,AL061947,UNNAMED,1947-09-22 03:00:00,L,TS,22.5,-83.1,45,,,,,,,,,,,,,,"22.5,-83.1","San Cristóbal, Artemisa, 22800, Cuba"
21095,21095,AL061947,UNNAMED,1947-09-23 22:00:00,L,TS,28.9,-82.7,55,,,,,,,,,,,,,,"28.9,-82.7","Citrus County, Florida, United States"
21111,21111,AL071947,UNNAMED,1947-10-07 04:00:00,L,TS,30.8,-81.5,50,,,,,,,,,,,,,,"30.8,-81.5","Camden County, Georgia, United States"
21145,21145,AL091947,UNNAMED,1947-10-11 07:00:00,L,TS,22.2,-83.6,55,,,,,,,,,,,,,,"22.2,-83.6","Playa Las Canas, Pinar del Río, 24520, Cuba"
21149,21149,AL091947,UNNAMED,1947-10-12 02:00:00,L,HU,25.4,-81.2,80,975.0,,,,,,,,,,,,,"25.4,-81.2","Monroe County, Florida, United States"
21163,21163,AL091947,UNNAMED,1947-10-15 11:00:00,L,HU,31.8,-80.9,90,,,,,,,,,,,,,,"31.8,-80.9","Wassaw Island, Chatham County, Georgia, United States"
21227,21227,AL021948,UNNAMED,1948-07-09 07:00:00,L,TS,30.3,-87.3,35,,,,,,,,,,,,,,"30.3,-87.3","Escambia County, Florida, United States"
21287,21287,AL041948,UNNAMED,1948-08-31 22:00:00,L,TS,13.8,-60.9,40,,,,,,,,,,,,,,"13.8,-60.9","Beanfield Road, Cazuca, Micoud, LC 1015, Saint Lucia"
21303,21303,AL051948,UNNAMED,1948-09-04 07:00:00,L,HU,29.1,-90.5,70,983.0,,,,,,,,,,,,,"29.1,-90.5","Terrebonne Parish, Louisiana, United States"
21393,21393,AL081948,UNNAMED,1948-09-20 22:00:00,L,HU,22.3,-82.1,110,,,,,,,,,,,,,,"22.3,-82.1","Matanzas, Cuba"
21395,21395,AL081948,UNNAMED,1948-09-21 01:00:00,L,HU,22.7,-82.0,110,,,,,,,,,,,,,,"22.7,-82.0","Güines, Mayabeque, 33900, Cuba"
21398,21398,AL081948,UNNAMED,1948-09-21 17:00:00,L,HU,24.6,-81.6,105,955.0,,,,,,,,,,,,,"24.6,-81.6","Monroe County, Florida, United States"
21401,21401,AL081948,UNNAMED,1948-09-22 05:00:00,L,HU,25.8,-81.3,115,940.0,,,,,,,,,,,,,"25.8,-81.3","Monroe County, Florida, United States"
21426,21426,AL091948,UNNAMED,1948-10-05 07:00:00,L,HU,22.4,-83.2,110,,,,,,,,,,,,,,"22.4,-83.2","Los Palacios, Pinar del Río, 22900, Cuba"
21428,21428,AL091948,UNNAMED,1948-10-05 18:00:00,L,HU,24.7,-81.2,90,,,,,,,,,,,,,,"24.7,-81.2","Monroe County, Florida, United States"
21429,21429,AL091948,UNNAMED,1948-10-05 20:00:00,L,HU,25.1,-80.9,90,,,,,,,,,,,,,,"25.1,-80.9","Monroe County, Florida, United States"
21438,21438,AL091948,UNNAMED,1948-10-07 22:00:00,L,HU,32.3,-64.9,90,,,,,,,,,,,,,,"32.3,-64.9","Somerset, Somerset Island, MA-05, Bermuda"
21537,21537,AL021949,UNNAMED,1949-08-26 23:00:00,L,HU,26.6,-80.0,115,954.0,,,,,,,,,,,,,"26.6,-80.0","Palm Beach County, Florida, United States"
21568,21568,AL031949,UNNAMED,1949-09-01 06:00:00,L,TS,13.9,-61.0,40,,,,,,,,,,,,,,"13.9,-61.0","Millet, Farm, Millet, Anse la Raye, LC05 201, Saint Lucia"
21616,21616,AL051949,UNNAMED,1949-09-04 12:00:00,L,TS,29.3,-90.6,50,,,,,,,,,,,,,,"29.3,-90.6","Terrebonne Parish, Louisiana, United States"
21676,21676,AL071949,UNNAMED,1949-09-13 08:00:00,L,TS,34.3,-77.8,35,,,,,,,,,,,,,,"34.3,-77.8","8132, Hays Lane, Kirkland, New Hanover County, North Carolina, 28411, United States"
21723,21723,AL091949,UNNAMED,1949-09-26 08:00:00,L,TS,19.5,-96.3,55,,,,,,,,,,,,,,"19.5,-96.3",México
21735,21735,AL101949,UNNAMED,1949-09-22 15:00:00,L,TS,18.4,-70.0,55,,,,,,,,,,,,,,"18.4,-70.0","Bajos de Haina, San Cristóbal, República Dominicana"
21765,21765,AL111949,UNNAMED,1949-10-04 05:00:00,L,HU,28.8,-95.6,95,965.0,,,,,,,,,,,,,"28.8,-95.6","Matagorda County, Texas, United States"
21876,21876,AL161949,UNNAMED,1949-11-04 14:00:00,L,TS,15.6,-84.1,40,,,,,,,,,,,,,,"15.6,-84.1","Puerto Lempira, Gracias a Dios, Honduras"
21918,21918,AL011950,ABLE,1950-08-21 16:00:00,L,HU,44.6,-63.7,65,,,,,,,,,,,,,,"44.6,-63.7","Big Indian Lake Pipeline Trail, Goodwood, Nova Scotia, B3T 1P2, Canada"
21946,21946,AL021950,BAKER,1950-08-22 12:00:00,L,TS,16.8,-62.2,60,,,,,,,,,,,,,,"16.8,-62.2","Geralds, Gerald's, Little Bay, Saint Peter, Montserrat"
21981,21981,AL021950,BAKER,1950-08-31 03:00:00,L,HU,30.2,-88.0,75,979.0,,,,,,,,,,,,,"30.2,-88.0","Baldwin County, Alabama, United States"
21982,21982,AL021950,BAKER,1950-08-31 04:00:00,L,HU,30.7,-87.9,75,,,,,,,,,,,,,,"30.7,-87.9","AL 225, Baldwin County, Alabama, 36527, United States"
22133,22133,AL051950,EASY,1950-09-03 01:00:00,L,HU,21.5,-82.6,70,,,,,,,,,,,,,,"21.5,-82.6","Isla de la Juventud, Cuba"
22135,22135,AL051950,EASY,1950-09-03 07:00:00,L,HU,22.7,-82.3,80,,,,,,,,,,,,,,"22.7,-82.3","Tomate, Surgidero de Batabanó, Batabanó, Mayabeque, Cuba"
22145,22145,AL051950,EASY,1950-09-05 17:00:00,L,HU,29.1,-82.8,105,960.0,,,,,,,,,,,,,"29.1,-82.8","Levy County, Florida, United States"
22148,22148,AL051950,EASY,1950-09-06 04:00:00,L,HU,28.5,-82.7,90,,,,,,,,,,,,,,"28.5,-82.7","Hernando County, Florida, United States"
22271,22271,AL091950,ITEM,1950-10-11 04:00:00,L,HU,18.9,-95.9,90,,,,,,,,,,,,,,"18.9,-95.9",México
22317,22317,AL111950,KING,1950-10-16 22:00:00,L,HU,20.9,-78.3,80,,,,,,,,,,,,,,"20.9,-78.3","Camagüey, Cuba"
22323,22323,AL111950,KING,1950-10-18 05:00:00,L,HU,25.7,-80.2,115,955.0,,,,,,,,,,,,,"25.7,-80.2","Coral Gables, Miami-Dade County, Florida, United States"
22378,22378,AL131950,LOVE,1950-10-21 11:00:00,L,TS,29.7,-83.4,50,,,,,,,,,,,,,,"29.7,-83.4","Cindy, Taylor County, Florida, 32359, United States"
22470,22470,AL021951,ABLE,1951-05-18 12:00:00,L,HU,27.0,-77.9,75,982.0,,,,,,,,,,,,,"27.0,-77.9","North Abaco, The Bahamas"
22536,22536,AL041951,CHARLIE,1951-08-18 03:00:00,L,HU,17.9,-76.9,110,,,,,,,,,,,,,,"17.9,-76.9","Johnson Hill Road, Hellshire Heights, Hellshire, Saint Catherine, Middlesex County, Jamaica"
22545,22545,AL041951,CHARLIE,1951-08-20 02:00:00,L,HU,20.3,-87.0,115,,,,,,,,,,,,,,"20.3,-87.0","Cozumel, Quintana Roo, México"
22546,22546,AL041951,CHARLIE,1951-08-20 03:00:00,L,HU,20.4,-87.3,115,,,,,,,,,,,,,,"20.4,-87.3","Bahia Media Luna, Akumal, 77784, México"
22558,22558,AL041951,CHARLIE,1951-08-22 19:00:00,L,HU,22.3,-97.8,100,968.0,,,,,,,,,,,,,"22.3,-97.8","Miramar, Altamira, Tamaulipas, 89318, México"
22699,22699,AL081951,GEORGE,1951-09-21 14:00:00,L,TS,21.6,-97.4,50,,,,,,,,,,,,,,"21.6,-97.4","Tampico Alto, Veracruz de Ignacio de la Llave, México"
22716,22716,AL091951,HOW,1951-10-02 10:00:00,L,TS,26.7,-82.3,55,,,,,,,,,,,,,,"26.7,-82.3","Lee County, Florida, United States"
22899,22899,AL021952,ABLE,1952-08-31 03:00:00,L,HU,32.3,-80.6,85,,,,,,,,,,,,,,"32.3,-80.6","Beaufort County, South Carolina, United States"
22915,22915,AL031952,UNNAMED,1952-08-28 02:00:00,L,TS,33.7,-78.7,45,1000.0,,,,,,,,,,,,,"33.7,-78.7",United States
23100,23100,AL101952,FOX,1952-10-24 18:00:00,L,HU,22.0,-80.9,125,934.0,,,,,,,,,,,,,"22.0,-80.9","Matanzas, Cuba"
23105,23105,AL101952,FOX,1952-10-25 19:00:00,L,TS,24.4,-78.3,60,991.0,,,,,,,,,,,,,"24.4,-78.3","North Andros, The Bahamas"
23108,23108,AL101952,FOX,1952-10-26 10:00:00,L,HU,24.7,-76.2,75,,,,,,,,,,,,,,"24.7,-76.2","Queen's Highway, Wemyss Bight, South Eleuthera, The Bahamas"
23110,23110,AL101952,FOX,1952-10-26 15:00:00,L,HU,24.5,-75.6,75,,,,,,,,,,,,,,"24.5,-75.6",Bermuda Triangle
23148,23148,AL011953,ALICE,1953-05-26 18:00:00,L,TS,15.4,-83.9,35,,,,,,,,,,,,,,"15.4,-83.9","Puerto Lempira, Gracias a Dios, Honduras"
23168,23168,AL011953,ALICE,1953-05-31 13:00:00,L,TS,21.9,-84.3,45,,,,,,,,,,,,,,"21.9,-84.3","Sandino, Pinar del Río, 20800, Cuba"
23193,23193,AL011953,ALICE,1953-06-06 17:00:00,L,TS,30.3,-85.9,40,,,,,,,,,,,,,,"30.3,-85.9","Side Camp Road, Laird, Bay County, Florida, 32461, United States"
23227,23227,AL031953,BARBARA,1953-08-14 03:00:00,L,HU,35.0,-76.1,80,,,,,,,,,,,,,,"35.0,-76.1","Carteret County, North Carolina, United States"
23228,23228,AL031953,BARBARA,1953-08-14 05:00:00,L,HU,35.4,-76.1,75,,,,,,,,,,,,,,"35.4,-76.1","Gull Rock Road, Last Chance, Hyde County, North Carolina, United States"
23230,23230,AL031953,BARBARA,1953-08-14 09:00:00,L,HU,36.1,-75.9,70,,,,,,,,,,,,,,"36.1,-75.9","Currituck County, North Carolina, United States"
23284,23284,AL041953,CAROL,1953-09-07 20:00:00,L,HU,44.2,-66.4,75,,,,,,,,,,,,,,"44.2,-66.4","Digby Municipal District, Digby County, Nova Scotia, Canada"
23285,23285,AL041953,CAROL,1953-09-07 22:00:00,L,HU,45.3,-65.8,70,,,,,,,,,,,,,,"45.3,-65.8","Simonds Parish, Saint John County, New Brunswick / Nouveau-Brunswick, E2S 1G7, Canada"
23322,23322,AL061953,DOLLY,1953-09-12 05:00:00,L,TS,32.3,-64.8,55,996.0,,,,,,,,,,,,,"32.3,-64.8","ESC Limited, Mill Creek Road, Pembroke, HM03, Bermuda"
